func	node	epoch	step	MSE		R2
swish 100 100 01 4301.860 -1.5046864
swish 100 100 001 4383.970 -0.0626766
swish 100 100 0001 18649.730 -1612.3880895
swish 100 1000 01 5405.858 -0.9470499
swish 100 1000 001 4996.257 -1.1487334
swish 100 1000 0001 4068.276 -0.0797329
swish 100 10000 01 5405.352 -0.9462430
swish 100 10000 001 5405.650 -0.9462840
swish 100 10000 0001 5395.676 -0.9556572
swish 1000 100 01 5344.535 -0.9690825
swish 1000 100 001 4301.586 -1.5146678
swish 1000 100 0001 7687.034 -7.0514296
swish 1000 1000 01 5406.056 -0.9465423
swish 1000 1000 001 5405.020 -0.9540634
swish 1000 1000 0001 4381.460 -1.5773855
swish 1000 10000 01 5408.282 -0.9504758
swish 1000 10000 001 5405.543 -0.9462314
swish 1000 10000 0001 5407.491 -0.9473403
tanh 100 100 01 4722.055 -1.4382791
tanh 100 100 001 4541.822 -63.0650826
tanh 100 100 0001 18327.134 -2164.3759400
tanh 100 1000 01 5389.155 -0.9489306
tanh 100 1000 001 4560.229 -1.4495536
tanh 100 1000 0001 4609.627 -47.9667788
tanh 100 10000 01 5406.032 -0.9464465
tanh 100 10000 001 5405.054 -0.9468466
tanh 100 10000 0001 5136.405 -1.0999677
tanh 1000 100 01 5301.474 -1.0137502
tanh 1000 100 001 4726.264 -1.5468762
tanh 1000 100 0001 6837.188 -10.2774431
tanh 1000 1000 01 5408.170 -0.9473984
tanh 1000 1000 001 5401.553 -0.9657959
tanh 1000 1000 0001 4568.399 -1.4008756
tanh 1000 10000 01 5530.394 -0.9048310
tanh 1000 10000 001 5408.057 -0.9453489
tanh 1000 10000 0001 5408.827 -0.9476682
arctan 100 100 01 4695.224 -1.3245204
arctan 100 100 001 3061.016 -6.1246861
arctan 100 100 0001 18306.907 -1982.2542040
arctan 100 1000 01 5353.242 -0.9334961
arctan 100 1000 001 4352.663 -1.4293472
arctan 100 1000 0001 3198.084 -5.7849874
arctan 100 10000 01 5409.115 -0.9443223
arctan 100 10000 001 5399.718 -0.9443793
arctan 100 10000 0001 5029.071 -1.0632415
arctan 1000 100 01 5102.813 -1.0711406
arctan 1000 100 001 4579.046 -1.4685736
arctan 1000 100 0001 6286.271 -7.4129078
arctan 1000 1000 01 5406.265 -0.9468598
arctan 1000 1000 001 5364.847 -0.9662111
arctan 1000 1000 0001 4501.305 -1.3876490
arctan 1000 10000 01 6126.852 -0.7573251
arctan 1000 10000 001 5406.298 -0.9496782
arctan 1000 10000 0001 5408.375 -0.9475522
